vöktum,vœxtʏm
svörtum,svœr̥tʏm
Addi,atɪ
adolf,a:tɔlv
adolfs,a:tɔls
Adolfsson,a:tɔlfsɔ:n
adrenalín,a:trɛnali:n
adrenalínpenna,a:trɛnalinpʰɛna
ADSL,a tjɛ: ɛs ɛtl̥
að,a:ð
aðal,a:ðal
aðalatriði,a:ðalatrɪðɪ
aðalatriðið,a:ðalatrɪðɪð
aðalatriðum,a:ðalatrɪðʏm
aðalástæðan,a:ðalaustaiðan
aðalbandinu,a:ðalpantɪnʏ
Aðalbjörg,a:ðalpjœrk
aðalbúðunum,a:ðalpu:ðɔnʏm
aðalbyggingu,a:ðalpɪciŋkʏ
aðalbyggingunni,a:ðalpɪciŋkʏnɪ
Aðaldal,a:ðalta:l
aðaldyrunum,a:ðaltɪ:rɔnʏm
aðaleigandi,a:ðalei:ɣantɪ
aðaleikarinn,a:ðalɛ:jkarɪn
aðaleinkenni,a:ðalɛjɲcʰɛnɪ
aðaleinkunn,a:ðaleiŋ̊kʏn
aðaleyjarnar,a:ðalɛjatnar
aðalfjörið,a:ðalfjœ:rɪð
aðalframkvæmdastjóri,a:ðalframkʰvaimtastjou:rɪ
aðalfréttirnar,a:ðalfrjɛhtɪtnar
aðalfulltrúar,a:ðalfʏtl̥tʰruar
aðalfund,a:ðalfʏnt
aðalfundar,a:ðalfʏntar
aðalfundardegi,a:ðalfʏntartɛjɪ
aðalfundarstörf,a:ðalfʏntarstœrv
aðalfundarstörfum,a:ðalfʏntarstœrvʏm
aðalfundi,a:ðalfʏntɪ
aðalfundinum,a:ðalfʏntɪnʏm
aðalfundur,a:ðalfʏntʏr
aðalfundurinn,a:ðalfʏntʏrɪn
aðalfylkingar,a:ðalfɪl̥ciŋkar
aðalfyrirlesara,a:ðalfɪ:rɪrlɛsara
aðalfyrirlesari,a:ðalfɪ:rɪrlɛsarɪ
í,i:
a,a:
abbadísin,apati:sɪn
abbast,apast
Aco-Tæknival,a:kou taihknɪval
Adam,a:tam
Adams,a:tams
Adda,ata
aðalgeirsdóttir,a:ðalcɛjr̥stouhtɪr
aðalgreinum,a:ðalkrɛjnʏm
Aðalgötu,a:ðalkœ:tʏ
aðalgötuna,a:ðalkœ:tʏna
aðalgötunni,a:ðalkœ:tʏnɪ
Aðalheiðar,a:ðalhei:ðar
Aðalheiði,a:ðalhei:ðɪ
Aðalheiður,a:ðalhei:ðʏr
aðalheimild,a:ðalhɛjmɪlt
aðalhlutverk,a:ðal̥ʏtvɛr̥k
aðalhlutverki,a:ðal̥ʏtvɛr̥cɪ
aðalhlutverkið,a:ðal̥ʏtvɛr̥cɪð
aðalhlutverkin,a:ðal̥ʏtvɛr̥cɪn
aðalhlutverkinu,a:ðal̥ʏtvɛr̥cɪnʏ
aðalhlutverkum,a:ðal̥ʏtvɛr̥kʏm
aðalhönnuður,a:ðalhœnʏðʏr
aðalinnganginum,a:ðalɪŋkauŋcɪnʏm
aðaljárnbrautarstöðinni,a:ðaljautnprœitarstœ:ðɪnɪ
aðalkostur,a:ðalkʰɔstʏr
aðalkvöldfréttatími,a:ðalkvœltfrjɛhtati:mɪ
aðallandstjórans,a:ðalantstjourans
aðallega,a:ðalɛɣa
aðalleiðbeinanda,a:ðalɛjðpɛjnanta
aðalleiðbeinandi,a:ðalɛjðpɛjnantɪ
aðalleikendur,a:ðalei:kɛntʏr
aðalleit,a:ðalɛjt
aðallista,a:ðalɪsta
aðalmarkmið,a:ðalmar̥kmɪð
aðalmálið,a:ðalmau:lɪð
aðalnámskrá,a:ðalnaumskrau
aðalnámskránni,a:ðalnaumskraunɪ
